entry_n,entry_vwap,exit_n_120,exit_n_14400,exit_n_1800,exit_n_30,exit_n_300,exit_n_3600,exit_n_43200,exit_n_60,exit_n_86400,exit_n_900,exit_vwap_120,exit_vwap_14400,exit_vwap_1800,exit_vwap_30,exit_vwap_300,exit_vwap_3600,exit_vwap_43200,exit_vwap_60,exit_vwap_86400,exit_vwap_900,n_buys_pre,t0,token,vol_usd_pre
25,4.411747076724887e-05,21,14,23,15,14,60,9,10,25,16,5.972536625007689e-05,8.37220723026308e-06,4.6304822847507615e-05,4.255591608838784e-05,6.10520278405697e-05,3.3184305741654785e-05,8.039174627023237e-06,4.611037288226353e-05,1.4265634653216756e-05,3.5866015095970066e-05,14,2026-08-27 14:56:07,0xf1df99dc5a8ece7c4991e70ecf32bd153e043342,762.294185007455
0,,0,0,0,0,0,0,0,0,0,0,,2.896391277787822e-06,2.896391277787822e-06,,,2.896391277787822e-06,2.896391277787822e-06,,2.896391277787822e-06,4.0834378021614075e-06,0,2026-08-27 12:44:47,0x99f91e5a8ef56aad09c2bbfd42dc5cf0478b084e,0.0
152,1.663239610480365e-05,34,7,33,92,23,26,1,60,1,17,1.3977968461869229e-05,3.3053489691057898e-06,1.4730416921341978e-05,1.998100533024458e-05,1.8228483337032113e-05,1.2270720189736819e-05,2.717397440521572e-06,1.2443470410068362e-05,2.6617127068035204e-06,3.0249031863840188e-05,109,2026-08-27 15:25:34,0x307ab1b16cf66cab1cc0bbd804c3c7546121e88f,10235.330954542522
160,1.6888160952450158e-05,12,1,4,87,1,2,0,73,1,0,4.946833778771076e-06,2.9133462286234845e-06,2.9611322171333753e-06,2.3956689332065193e-05,3.4921404489979833e-06,3.0445359996689985e-06,2.8158236314714717e-06,7.854237497383177e-06,2.6834465502916776e-06,3.090587921093081e-06,12,2026-08-27 05:41:55,0xfc1086b6aa258c9e67d2284498a632f206659247,674.1189679790505
125,6.707455481673218e-05,150,0,1,68,68,2,0,57,2,5,8.521698487648514e-05,2.6306869992215483e-06,3.117617490736008e-06,6.612549602467032e-05,3.829899317434578e-05,2.6749067332525227e-06,2.608179021612461e-06,6.776282985772532e-05,2.6508193159550965e-06,3.1157774191054647e-06,30,2026-08-27 12:32:49,0x014aa4ea00adff7d679aabfbfd777d0c4f8ee424,1692.6533402959622
0,,0,0,0,0,0,0,0,0,0,0,6.636870644110623e-06,2.9422049830060376e-06,2.9422049830060376e-06,,6.636870644110623e-06,2.9422049830060376e-06,2.9422049830060376e-06,,2.9422049830060376e-06,2.9422049830060376e-06,0,2026-08-27 15:36:02,0x4f1aedb9942947937db0b080dbc71059638aee9e,0.0
18,6.507323663842284e-05,14,32,90,9,14,23,21,9,24,24,5.717921988294713e-05,7.995523781869683e-05,0.00010737839673963481,6.268618911987101e-05,5.5660201684118786e-05,9.161245065622907e-05,5.843878272030279e-05,6.861159716167212e-05,2.332737755787127e-05,8.766212280305278e-05,6,2026-08-27 17:30:55,0x56384b22e988dc25260671f2b98dacca3f009a60,231.7499246215936
132,4.6150387083596476e-05,86,2,70,68,12,50,0,64,2,21,1.981744883779824e-05,4.220907420230815e-06,4.3457397876192626e-05,5.574514680491493e-05,1.915446566505062e-05,1.4510377635353813e-05,4.143447085235517e-06,3.9159540384934725e-05,3.5629418279016115e-06,2.82739069253171e-05,43,2026-08-27 17:26:14,0x53f4a23a1b1c794a74e34c97756c6c96c53ed885,4617.5249967144
0,,0,0,0,0,0,0,0,0,0,0,2.3657345499284117e-05,2.3657345499284117e-05,2.3657345499284117e-05,2.3657345499284117e-05,2.3657345499284117e-05,2.3657345499284117e-05,2.3657345499284117e-05,2.3657345499284117e-05,2.3657345499284117e-05,2.3657345499284117e-05,1,2026-08-27 19:13:21,0x0efc7c4b937c67e22e1249e5a5f0d607c66edd27,1.2141847456643047
17,6.734853095806866e-05,10,14,24,12,4,3,15,5,44,23,6.962265272423288e-05,4.410822413437166e-05,3.926917126243689e-05,6.855840602526311e-05,8.109004214779548e-05,3.468588066956677e-05,4.140139146778568e-05,6.60443444177565e-05,2.5769621775302588e-05,7.649893823842806e-05,9,2026-08-27 11:09:32,0xcf3477158c28b3b327422bdedaff90a1abc7718e,1727.358133610373
613,5.834086254987214e-05,87,2,4,300,1,0,0,313,3,0,1.535092723764234e-05,2.7204331080780313e-06,3.096203930595112e-06,9.186656501620425e-05,3.952054356662298e-06,2.816726239490377e-06,2.703755530481034e-06,4.044405634188473e-05,2.7542732336987033e-06,2.9463457430380975e-06,128,2026-08-27 15:10:54,0x62a32de39b4dbef0ccb4ff05e1f5350370058d1c,19132.725084909405
98,6.580155209668861e-05,60,112,208,61,128,117,36,37,5,184,8.201063290197602e-05,2.5773421825676736e-05,7.59275597275808e-05,6.68152023332497e-05,0.00015658667949420925,9.102608548567497e-05,9.55633552287046e-06,6.428684585639227e-05,4.316396742423784e-06,0.000219723404855607,39,2026-08-27 21:09:21,0xf4bf7fc81f3e772db03190a828e9398730f5e568,4469.971359708655
30,4.655621666979027e-05,18,13,19,14,10,24,20,16,67,21,4.913905303303973e-05,3.781161463463007e-05,2.9750022255209348e-05,4.42085697211769e-05,4.121292397931376e-05,2.645744070647411e-05,4.5864993400233045e-05,5.144550711057442e-05,6.20190529907007e-05,4.095465112074065e-05,22,2026-08-27 21:02:08,0x513e7a4375dd34d4c0a609b7003a1674056c863e,1847.3078211371367
6,6.075254959717125e-05,0,0,1,3,0,3,4,3,2,0,5.919725821733112e-05,3.156606788121812e-05,4.004326281778306e-05,6.051323253842882e-05,5.944979220442026e-05,4.281943151365266e-05,3.069593227113022e-05,6.109596986538092e-05,3.615056572034145e-05,5.9713273078762716e-05,8,2026-08-27 18:47:04,0x19fe13ea2475fa723defb31791db1ce8fadbbb33,165.3064157932604
1,4.0171684703120094e-05,0,14,14,1,0,10,12,0,12,0,4.0171684703120094e-05,0.00019434980312842278,0.00019021869159830646,4.0171684703120094e-05,6.266349813500442e-05,0.00011640268657309047,8.675275795018491e-05,4.0171684703120094e-05,0.00014588362046661805,0.00015384810597868543,0,2026-08-27 16:38:47,0x99a66d49abe9a8b918360d34b3932e9bd7a4c3f3,0.0
147,5.722001125517914e-05,50,2,1,59,24,4,0,88,2,19,6.499258738339136e-05,3.0825455039140906e-06,6.141344908554332e-06,6.672571582014099e-05,2.1464770605599897e-05,3.4796949627644765e-06,2.950543140236134e-06,5.098317554630846e-05,2.7313454119653894e-06,1.2091313868229157e-05,67,2026-08-27 22:13:28,0xc1592fbfe8ed7bf943c327145ae93d087057d56a,10942.05317301416
0,,0,0,0,0,0,0,0,0,0,0,,8.890356642048184e-06,0.00017450672107221105,,,0.00017495805700805535,7.3658497172305265e-06,,5.0964428971176166e-06,9.585626507683861e-05,0,2026-08-27 09:13:08,0x3b1b1728f5c4d96fdcfe77ded2bf4a98517d3eb1,0.0
1,0.0001387641177368151,0,0,0,1,1,1,0,0,0,0,0.0001387641177368151,5.265586994919706e-06,3.5753510523003456e-06,0.0001387641177368151,1.2543783005592198e-05,5.265586994919706e-06,3.4653104844235868e-06,0.0001387641177368151,0.0002308395351386239,3.5753510523003456e-06,0,2026-08-27 14:40:23,0xd5aef276d0511cad8c4663c4bdab8dd241e9acd4,0.0
0,,0,0,0,0,0,13,6,0,17,0,,0.00010771438991228407,3.685517595051466e-05,,,0.0001333302721508192,0.0002605966386048945,,0.0004933195358110047,,0,2026-08-27 23:34:44,0xde3549041c1252675ed83e14ee489b4c1fc9f310,0.0
110,5.8181876524300317e-05,119,1,3,46,30,8,0,64,1,6,6.953083401812749e-05,3.2579727043218603e-06,5.001189435679505e-06,4.7550380614074306e-05,1.1808937757823535e-05,3.825745529345685e-06,2.811882857971786e-06,6.891028364806386e-05,2.719803555325661e-06,5.313415227457874e-06,82,2026-08-27 06:30:53,0x7422eeae636c8697c9a2db8fe6439ea3f8d60d70,7423.8454264182665
31,4.303931398481164e-05,12,33,56,7,21,104,55,24,81,39,3.461868323533139e-05,0.00013311861157846636,0.00015691689185035323,5.1809019659687735e-05,8.140356748530796e-05,8.776008901181582e-05,0.000222952508671756,4.100022998153952e-05,8.473965118148549e-05,0.0001059835964640741,7,2026-08-27 22:55:42,0x11387d2beaa3377c4659aa58a33efe0df74c295c,451.3689957415247
171,9.05235918945068e-06,39,1,1,107,10,0,0,64,1,0,1.7421784489198013e-05,2.700592231862054e-06,2.992511916526033e-06,9.750738929838843e-06,1.0281181464970138e-05,2.8747514231067004e-06,2.63643807485956e-06,8.04474936935415e-06,2.511324509626125e-06,3.5725643954933188e-06,272,2026-08-27 20:18:44,0xa51c741afed6109aefa8c491f1b2ee9ea9577863,35260.22226426376
106,3.9308082873678776e-05,29,11,12,39,25,15,11,67,9,15,4.1363078936360646e-05,1.9694636860042392e-05,2.824226445581186e-05,3.7708837471620927e-05,5.841723436452456e-05,2.730124988951427e-05,8.945325143540667e-06,4.027057041190067e-05,3.2878258511435716e-06,2.5463450060476083e-05,21,2026-08-27 16:42:20,0x5baf810271cf08fcdfbbc4cbfc67bab97897805a,1881.294737394198
14,5.274411039117346e-05,8,94,53,5,16,43,144,9,364,14,5.837678295068353e-05,0.000239010532838386,0.00014166177993885827,5.261510079546359e-05,6.433615157792857e-05,9.082178948475051e-05,0.00026197568938421433,5.2775211089482145e-05,0.0003769551165355864,7.680769026586913e-05,5,2026-08-27 14:25:11,0x76af8d3b40a0d7b5197935d0e84c14f7a3782e87,114.34766651758015
98,0.0002459626811453615,66,221,8,54,11,11,145,44,713,24,0.0004249666554867856,0.0013843481259440374,0.00042005713007165553,0.00020097598553622586,0.00036521766884492566,0.00036928943730445027,0.0012425039001405902,0.0003042760758187062,0.001604694468224898,0.0004374612061165235,36,2026-08-27 22:00:39,0xa0e67be79118704a35e7d4b20c3ec4df36ef6e10,9517.442499684865
1,9.970269109132893e-05,0,16,55,1,0,301,7,0,7,2,9.970269109132893e-05,9.86173269026645e-05,0.000662892034927409,9.970269109132893e-05,9.970269109132893e-05,0.0002734439896030111,3.6821939455837686e-05,9.970269109132893e-05,2.6296079334746804e-05,5.696399372957411e-05,3,2026-08-27 03:45:22,0x4d3e09736d50ddc72b7919e81cf5a889207747df,3.219019604032
1,0.00013694234062556007,7,0,0,1,0,0,0,0,0,0,0.0001674187935777479,5.18573260170954e-06,1.5832954657608472e-05,0.00013694234062556007,0.00021682645052649495,3.07669529472816e-05,5.6949516631783904e-06,0.00013694234062556007,5.6949516631783904e-06,6.55351791511525e-05,6,2026-08-27 19:07:45,0x63182aec7ef76f1ea13b213fd7209c2590477493,13.98178029031051
6,5.397868871297493e-05,0,0,0,3,0,0,0,3,1,0,5.9730030163995256e-05,9.02505895903881e-05,5.9730030163995256e-05,5.113015783270363e-05,5.9730030163995256e-05,5.9730030163995256e-05,4.8323028393123666e-05,5.705834335311781e-05,2.1977190563149526e-05,5.9730030163995256e-05,2,2026-08-27 05:42:42,0xed258b768e9ae58ed3806792ec3fb96f967ce1b2,2.3628075469585124
1,5.2089032212333634e-06,0,0,0,1,0,0,0,0,0,0,5.2089032212333634e-06,4.0093764126553906e-06,4.0093764126553906e-06,5.2089032212333634e-06,5.2089032212333634e-06,4.0093764126553906e-06,4.0093764126553906e-06,5.2089032212333634e-06,4.0093764126553906e-06,4.0093764126553906e-06,1,2026-08-27 14:48:02,0x922aabefeea4a2dd407c06a080c2cf57edc2f9ed,5.0269537600000005
55,5.891577754338283e-05,13,26,29,27,88,38,31,28,8,23,5.1232181123163085e-05,2.5571468945374658e-05,4.68796898555092e-05,6.256713443524374e-05,8.829622344138057e-05,4.891488273271159e-05,1.9943159028724256e-05,5.56553262227646e-05,5.333858602565693e-06,5.658135928511903e-05,31,2026-08-27 03:26:54,0x8ad18d2fc5108d0dcc7c9b14f88083abdc4a666c,3437.52649970322
0,,0,0,0,0,0,0,0,0,0,0,9.796944684422896e-05,9.796944684422896e-05,9.796944684422896e-05,9.796944684422896e-05,9.796944684422896e-05,9.796944684422896e-05,9.796944684422896e-05,9.796944684422896e-05,2.558929170751105e-06,9.796944684422896e-05,1,2026-08-27 15:33:13,0x18b0145bdea46fbd6aa4336b227f65706d8b764b,0.96118326144
0,,0,324,1,0,0,131,1301,0,1351,35,,0.0010772684110230098,0.0003181228074730035,,0.0001363704941907452,0.0007830809788872059,0.002790118890561035,,0.004120509942402242,0.00022974288034584682,0,2026-08-27 11:48:43,0xd5f1afea47b1a9eab414d2ee740cf1d6d039e725,0.0
0,,0,0,5,0,0,0,0,0,1,0,,5.05448569548389e-06,9.764304516375677e-06,,3.453587305303605e-05,6.6568640933588614e-06,2.738166497308775e-05,,4.61751408649424e-06,3.453587305303605e-05,0,2026-08-27 15:08:51,0x4f8cb80df2c4609838a2e0889f0926c5c4a63035,0.0
849,0.00010456519681832439,172,17,48,425,72,41,9,424,38,72,0.00010913778899108054,7.80430880454035e-05,5.613213965588725e-05,0.00012030662517061998,0.0001386497922516393,3.102342051242394e-05,6.768896722190084e-05,8.945239756282048e-05,0.00012537089935119833,0.00010046727107999486,46,2026-08-27 18:26:03,0x7ba36be14dd06ba492f08be6c1b2979c1d0b652c,5589.583748457356
327,0.00012753003491085762,98,14,19,207,31,21,515,120,143,12,0.00011985488114162884,3.271459715406732e-05,4.264896257419516e-05,0.00012546847206938364,0.0001246824761972634,2.5217390166837372e-05,0.00012259015546991074,0.00013102005143331564,8.055525556609328e-05,4.0598596716385884e-05,108,2026-08-27 16:45:13,0xc4f36c7c1d00dcaab1d01159466afa189bfc7161,15784.051877118876
43,3.586633401026406e-05,36,7,16,19,6,29,99,24,121,32,3.196789577831214e-05,3.631799091711435e-05,4.79631608717037e-05,3.44581095467626e-05,3.6344875189465193e-05,5.36925082629952e-05,8.146209966807333e-05,3.92263813467421e-05,0.0001016354303905126,4.420701643369168e-05,19,2026-08-27 18:50:51,0x48dca2206189013fa50b9b2c38233b9363d72bd9,1062.0961703585472
120,4.890151490340698e-05,62,96,53,49,56,146,315,71,76,23,3.7947270799319574e-05,4.502409605096838e-05,4.4402696042529744e-05,4.899625569883e-05,3.105949723417733e-05,7.188009568479518e-05,8.196072119947656e-05,4.881534819630879e-05,5.184591398388331e-05,3.588160777162603e-05,66,2026-08-27 00:54:33,0x65ec40f99cde6d4c16c5e159477e782286caa20c,7491.460921233316
61,2.9178396194245936e-05,20,0,0,47,9,1,3,14,3,7,8.129625522577096e-06,3.9029381612402924e-06,4.235502317453034e-06,2.9716274384370857e-05,1.581288072271046e-05,4.142814776590357e-06,3.695205682225895e-06,2.729924691240817e-05,2.9644161280752987e-06,8.067541013279887e-06,14,2026-08-27 20:16:39,0xe6ecfaf966970a77716bae80574652175cdc9c81,941.1197243917119
49,5.292403510322405e-05,50,1,43,25,16,13,0,24,0,19,5.4044076835439954e-05,6.499807052170899e-06,3.192445049309821e-05,5.166947361762698e-05,6.9847014754516e-05,1.8832317886705317e-05,4.853063822027982e-06,5.4593262745147e-05,4.352669922851757e-06,4.048469475502112e-05,20,2026-08-27 16:38:29,0xccdf111cd05897fe52d211da7d17b3dd423c2867,1760.5558620048528
20,4.27017385926692e-05,18,145,30,13,16,84,25,7,12,19,5.43067272783676e-05,4.561130070865804e-05,2.546062880078605e-05,4.41158020206904e-05,5.243576833456099e-05,4.550871574862048e-05,9.136293271941195e-06,4.163084879652585e-05,6.511830129200747e-06,4.2138833280995e-05,14,2026-08-27 11:44:42,0x7b8a56480792b54c3422ae05fea6ff29ea7ff961,696.2859277318726
370,2.7905421206386177e-05,63,8,21,143,22,10,0,227,1,115,2.3445895704622648e-05,3.4402911497128632e-06,1.2796665490207518e-05,4.880006505410308e-05,2.595331382153726e-05,8.478037059267096e-06,3.2604678108643203e-06,2.082770230312582e-05,3.1935956484388915e-06,1.514754985677058e-05,110,2026-08-27 12:51:23,0xa12514d8e5e690c2ba52e4d43944c93517a56845,11674.318797906948
1228,0.0008670026932244539,553,11,46,520,198,29,16,708,31,257,0.001277337116103486,0.00038834300950614444,0.00048100206765069176,0.0006857569207316695,0.0006638308458834482,0.0004755658250619079,0.0003418582576704043,0.0010753495067213014,0.00033874350857352164,0.0004725105306012217,134,2026-08-27 18:37:53,0x80bced7cc2bbb44a41f5ba30c7090a7ba1bec605,37205.26197591837
17,4.798185418351062e-05,7,19,10,10,6,45,7,7,3,31,4.790068662031319e-05,3.133877471319067e-05,4.602926856159211e-05,4.818174226178031e-05,4.9485686889739225e-05,5.437948264679557e-05,5.636529296264185e-06,4.665193133887208e-05,3.6976962653309752e-06,5.980208717066363e-05,8,2026-08-27 07:18:56,0x8615543e541c71ee3050f729bc6ab55cde054f91,278.03290787829764
0,,0,0,0,0,0,0,0,0,0,0,,0.00014483661002544026,6.01697760770922e-05,,,0.00014483661002544026,0.00014483661002544026,,9.056355098765437e-05,6.01697760770922e-05,0,2026-08-27 17:09:58,0x211431dedbf1a2c38a6a38cd32f094c1d86408c3,0.0
71,4.816411796371613e-05,33,1,21,33,26,11,1,38,1,111,3.310911985640834e-05,4.2249015161210046e-06,1.7440666843173036e-05,4.911207584737506e-05,1.6585077500269953e-05,6.791471991783439e-06,3.9234161817119055e-06,4.742388582645747e-05,3.4381123808725276e-06,2.952938936757069e-05,24,2026-08-27 14:55:24,0x3a1db41deba4c364cac47773ea62e914e38a81f3,1253.7123458079889
0,,0,0,0,0,0,0,0,0,0,0,,3.497952991663724e-06,9.226779424658448e-05,,,9.226779424658448e-05,0.00022915425645229285,,0.00022915425645229285,9.226779424658448e-05,0,2026-08-27 12:01:55,0x050c883fcdb02bdf99eb18722d10c935c62546c9,0.0
5,5.002249234050209e-05,6,22,17,1,7,11,16,4,63,17,4.908534117252475e-05,4.4281866825334234e-05,5.5963915062579074e-05,5.2373261245846626e-05,5.675384918533672e-05,6.0821710045193404e-05,2.4562328665378617e-05,4.99964342412246e-05,5.3661917667621396e-05,4.975150355132431e-05,6,2026-08-27 10:22:01,0x91fad9dade3fc557a74d46cf85e936f057ddebed,212.4772602215726
0,,0,3,0,0,0,0,0,0,0,0,,2.3269479709768482e-06,4.278666380882468e-06,,,3.7128953811019177e-06,2.0380981771722015e-06,,2.0380981771722015e-06,,0,2026-08-27 12:26:32,0x49b86bdb28188c801dbb2cf122a2eb5dbf68e915,0.0
489,0.00022490385052352193,354,0,2,202,29,1,0,287,1,9,0.00027074383661738897,2.954822835673394e-06,2.9730307169414557e-06,0.00019754425082469887,9.195998081943749e-05,3.191513659760076e-06,2.9341662965111386e-06,0.0002485236074104749,2.85690303123253e-06,2.859911108226977e-05,106,2026-08-27 20:42:27,0x73dec2699b6f70715b332c61826f23d1f82abc99,51042.75620026942
34,7.532069515387708e-05,36,0,5,19,41,1,0,15,1,27,0.00014552661933030364,2.7519268813775593e-06,5.383574016713279e-06,7.062037991561066e-05,0.0001450439329890632,5.315345196220761e-06,2.5434600236095755e-06,8.958275025751293e-05,3.239520455452474e-06,0.00027153895611948685,3,2026-08-27 18:29:38,0x7eba7cfbd2b42a217e5f0d82ea270f46e6aea077,101.28152449589622
516,2.4053722639268762e-05,12,0,1,367,26,0,0,149,0,2,5.395673921692717e-06,2.6594004257493112e-06,2.9836049057093685e-06,3.171131618056273e-05,6.708135297731349e-06,2.653469174087416e-06,2.615599966809862e-06,1.2893557892553137e-05,2.586917031922019e-06,2.9167070912743895e-06,181,2026-08-27 15:23:53,0xace5bc3ddabd6e7a8f7c434a7fd4b786aceb421b,20470.988354316192
105,1.0227886335382288e-05,2,0,1,85,0,0,2,20,0,0,2.7604393764769303e-06,2.5507200906450353e-06,2.5524394790217447e-06,1.3202729857208944e-05,2.6707492350796356e-06,2.5524394790217447e-06,2.53108114157668e-06,4.4326505442572686e-06,2.531275284742462e-06,2.6370056027239947e-06,29,2026-08-27 19:27:16,0xd15932f0e7204982e5b51b6bb61e71440697124a,2841.6020664239254
3,4.937920275109338e-05,7,0,13,0,0,11,0,3,0,2,0.0005187923397997402,0.00020047417341690726,0.0001142786617000245,,0.0005061847375268844,0.00015419525845782817,0.004164999724137911,4.937920275109338e-05,0.004164999724137911,0.00010726661103163795,0,2026-08-27 11:04:22,0x92663c3b9f7a27d736a67fd10df5416c5dd5625a,0.0
0,,0,0,0,0,0,0,1,0,0,0,,2.0037040060291647e-05,0.0003101949649168671,,,1.134805074208729e-05,9.59626059993518e-06,,8.085524969183843e-06,0.0003101949649168671,0,2026-08-27 20:02:20,0x499368d95e47708aaf9a8ec2a281ec4ea29b3be1,0.0
0,,0,1,12,0,2,3,0,0,3,482,,5.941564521676812e-06,2.355452094252217e-05,,0.00012135122327840333,1.574156299829617e-05,1.1650917102048453e-07,,5.612471100336028e-06,0.00042053725316859564,0,2026-08-27 11:35:17,0x673231873848ada8491449789854acb33fb7d777,0.0
35,3.8065830310084226e-05,24,9,25,11,18,9,0,24,1,18,3.837634757878763e-05,1.315816771321534e-05,2.4035700976674095e-05,4.533193223261322e-05,3.91805515976665e-05,1.5839769317281045e-05,4.427233926333746e-06,3.5497726611034425e-05,3.160607978659767e-06,4.0327239132288477e-05,19,2026-08-27 14:35:20,0xe0ab410e8d4a609299a0b4a21726b085914179d5,1004.617200944965
523,3.6268882504234084e-05,148,32,142,329,95,89,25,194,261,67,5.296622401596723e-05,2.0955487608430404e-05,0.00010205398751462017,3.850511411596714e-05,4.880505988251829e-05,6.523600947747158e-05,1.2748958908877606e-05,3.289648472426676e-05,5.1452811972627374e-05,7.959917840446654e-05,336,2026-08-27 16:08:51,0xfc451d1685457859e4fd2e62ab89b69044563f21,99993.18945164312
64,6.069944191095807e-05,38,55,62,41,94,59,23,23,35,59,8.23484208061121e-05,6.238249384360814e-05,1.6522785775614527e-05,5.759701134367346e-05,0.0001171350159941113,3.026518957077663e-05,5.3140788632304943e-05,7.110631429955559e-05,2.5939431401699608e-05,2.644523557075902e-05,31,2026-08-27 20:46:32,0x9ecb1cb29353de3e28cdc26650e2bb6e5574816f,1973.7098019970922
69,7.593722360159045e-05,28,0,0,4,1,1,0,65,0,6,5.000835438684855e-05,2.6846174165331638e-06,2.7449926919545966e-06,6.155390289322794e-05,3.2803392408964695e-05,2.692337811560521e-06,2.6846174165331638e-06,7.610573247506647e-05,2.6115874788169787e-06,7.3817057433242766e-06,19,2026-08-27 18:22:56,0xcbb777556b6f32bbd6759a0a46f21ad4024e94aa,1127.3738081099393
58,5.538848593480376e-05,40,1,18,34,11,15,16,24,5,24,4.044820313942032e-05,6.920538328046371e-06,2.1023850826215703e-05,5.732831763600043e-05,4.414059074082691e-05,1.655007855690903e-05,9.34533355340374e-06,5.3391432721969636e-05,9.324333906243473e-06,2.1635780583300578e-05,36,2026-08-27 21:25:39,0x927160ecc6d3aa3e229554116f6fcc4e31153470,3794.9467763662374
0,,0,26,1,0,0,29,19,0,47,0,,7.560556210832638e-05,3.9715949886861606e-05,,,0.00023422393348881333,0.00013436089963576024,,0.00032041774222063026,5.478610892559137e-05,0,2026-08-27 23:16:03,0xfcfa02286be2e22d3bb3739bfa3312592376d882,0.0
1,8.455082777601091e-05,0,0,0,0,0,2,1,1,1,2,8.455082777601091e-05,2.1587578396044603e-05,2.2407225277632883e-05,,8.455082777601091e-05,4.866244130723951e-05,2.8398628555760552e-05,8.455082777601091e-05,2.1574311090016486e-05,2.252035457806564e-05,0,2026-08-27 00:37:48,0x96c62260d17e92c5fe9496750c634c4d4380048b,0.0
491,9.580839482762353e-05,90,65,24,343,11,21,134,148,36,12,4.245660939838021e-05,3.182339208496283e-05,3.444793229787406e-05,0.00011121458279818086,3.289436029571792e-05,3.684277368829719e-05,2.4583832503417763e-05,7.340398113780707e-05,2.0438351631145367e-05,3.676904451770368e-05,54,2026-08-27 16:29:53,0x799b3ed6facae06be0016796ce34ee07b38ac695,5450.838484133441
